subticker,quarter,governance
BMGB,_2020_3Q,N1
BMGB,_2020_4Q,N1
BMGB,_2021_1Q,N1
CEAB,_2019_4Q,Básico
CEAB,_2020_1Q,NM
CEAB,_2020_2Q,NM
CEAB,_2020_3Q,NM
CEAB,_2020_4Q,NM
CEAB,_2021_1Q,NM
LMED,_2019_4Q,Básico
LMED,_2020_1Q,Básico
LMED,_2020_2Q,MA
LMED,_2020_3Q,MA
LMED,_2020_4Q,MA
LMED,_2021_1Q,MA
MTRE,_2019_4Q,Básico
MTRE,_2020_1Q,Básico
MTRE,_2020_2Q,NM
MTRE,_2020_3Q,NM
MTRE,_2020_4Q,NM
MTRE,_2021_1Q,NM
LWSA,_2019_4Q,Básico
LWSA,_2020_1Q,Básico
LWSA,_2020_2Q,NM
LWSA,_2020_3Q,NM
LWSA,_2020_4Q,NM
LWSA,_2021_1Q,NM
MDNE,_2019_4Q,Básico
MDNE,_2020_1Q,Básico
MDNE,_2020_2Q,NM
MDNE,_2020_3Q,NM
MDNE,_2020_4Q,NM
MDNE,_2021_1Q,NM
PRNR,_2019_4Q,MA
PRNR,_2020_1Q,MA
PRNR,_2020_2Q,NM
PRNR,_2020_3Q,NM
PRNR,_2020_4Q,NM
PRNR,_2021_1Q,NM
PCAR,_2019_4Q,N1
PCAR,_2020_1Q,N1
PCAR,_2020_2Q,NM
PCAR,_2020_3Q,NM
PCAR,_2020_4Q,NM
PCAR,_2021_1Q,NM
ALPK,_2019_4Q,Básico
ALPK,_2020_1Q,Básico
ALPK,_2020_2Q,Básico
ALPK,_2020_3Q,NM
ALPK,_2020_4Q,NM
ALPK,_2021_1Q,NM
AMBP,_2019_4Q,Básico
AMBP,_2020_1Q,Básico
AMBP,_2020_2Q,Básico
AMBP,_2020_3Q,Básico
AMBP,_2020_4Q,NM
AMBP,_2021_1Q,NM
SOMA,_2019_4Q,Básico
SOMA,_2020_1Q,Básico
SOMA,_2020_2Q,Básico
SOMA,_2020_3Q,Básico
SOMA,_2020_4Q,NM
SOMA,_2021_1Q,NM
DMVF,_2019_4Q,Básico
DMVF,_2020_1Q,Básico
DMVF,_2020_2Q,Básico
DMVF,_2020_3Q,Básico
DMVF,_2020_4Q,NM
DMVF,_2021_1Q,NM
LJQQ,_2019_4Q,Básico
LJQQ,_2020_1Q,Básico
LJQQ,_2020_2Q,Básico
LJQQ,_2020_3Q,Básico
LJQQ,_2020_4Q,NM
LJQQ,_2021_1Q,NM
LAVV,_2019_4Q,Básico
LAVV,_2020_1Q,Básico
LAVV,_2020_2Q,Básico
LAVV,_2020_3Q,Básico
LAVV,_2020_4Q,NM
LAVV,_2021_1Q,NM
PETZ,_2019_4Q,Básico
PETZ,_2020_1Q,Básico
PETZ,_2020_2Q,Básico
PETZ,_2020_3Q,Básico
PETZ,_2020_4Q,NM
PETZ,_2021_1Q,NM
PLPL,_2019_4Q,Básico
PLPL,_2020_1Q,Básico
PLPL,_2020_2Q,Básico
PLPL,_2020_3Q,Básico
PLPL,_2020_4Q,NM
PLPL,_2021_1Q,NM
SIMH,_2019_4Q,Básico
SIMH,_2020_1Q,Básico
SIMH,_2020_2Q,Básico
SIMH,_2020_3Q,Básico
SIMH,_2020_4Q,NM
SIMH,_2021_1Q,NM
CURY,_2019_4Q,Básico
CURY,_2020_1Q,Básico
CURY,_2020_2Q,Básico
CURY,_2020_3Q,Básico
CURY,_2020_4Q,NM
CURY,_2021_1Q,NM
HBSA,_2019_4Q,Básico
HBSA,_2020_1Q,Básico
HBSA,_2020_2Q,Básico
HBSA,_2020_3Q,Básico
HBSA,_2020_4Q,NM
HBSA,_2021_1Q,NM
MELK,_2019_4Q,Básico
MELK,_2020_1Q,Básico
MELK,_2020_2Q,Básico
MELK,_2020_3Q,Básico
MELK,_2020_4Q,NM
MELK,_2021_1Q,NM
BOAS,_2019_4Q,Básico
BOAS,_2020_1Q,Básico
BOAS,_2020_2Q,Básico
BOAS,_2020_3Q,Básico
BOAS,_2020_4Q,NM
BOAS,_2021_1Q,NM
SEQL,_2019_4Q,Básico
SEQL,_2020_1Q,Básico
SEQL,_2020_2Q,Básico
SEQL,_2020_3Q,Básico
SEQL,_2020_4Q,Básico
SEQL,_2021_1Q,NM
TIMS,_2019_4Q,Básico
TIMS,_2020_1Q,Básico
TIMS,_2020_2Q,Básico
TIMS,_2020_3Q,Básico
TIMS,_2020_4Q,Básico
TIMS,_2021_1Q,NM
GMAT,_2019_4Q,Básico
GMAT,_2020_1Q,Básico
GMAT,_2020_2Q,Básico
GMAT,_2020_3Q,Básico
GMAT,_2020_4Q,Básico
GMAT,_2021_1Q,NM
TFCO,_2019_4Q,Básico
TFCO,_2020_1Q,Básico
TFCO,_2020_2Q,Básico
TFCO,_2020_3Q,Básico
TFCO,_2020_4Q,Básico
TFCO,_2021_1Q,N2
CASH,_2019_4Q,Básico
CASH,_2020_1Q,Básico
CASH,_2020_2Q,Básico
CASH,_2020_3Q,Básico
CASH,_2020_4Q,Básico
CASH,_2021_1Q,NM
ENJU,_2019_4Q,Básico
ENJU,_2020_1Q,Básico
ENJU,_2020_2Q,Básico
ENJU,_2020_3Q,Básico
ENJU,_2020_4Q,Básico
ENJU,_2021_1Q,NM
AERI,_2019_4Q,Básico
AERI,_2020_1Q,Básico
AERI,_2020_2Q,Básico
AERI,_2020_3Q,Básico
AERI,_2020_4Q,Básico
AERI,_2021_1Q,NM
RRRP,_2019_4Q,Básico
RRRP,_2020_1Q,Básico
RRRP,_2020_2Q,Básico
RRRP,_2020_3Q,Básico
RRRP,_2020_4Q,Básico
RRRP,_2021_1Q,NM
RDOR,_2019_4Q,Básico
RDOR,_2020_1Q,Básico
RDOR,_2020_2Q,Básico
RDOR,_2020_3Q,Básico
RDOR,_2020_4Q,Básico
RDOR,_2021_1Q,NM
AVLL,_2019_4Q,Básico
AVLL,_2020_1Q,Básico
AVLL,_2020_2Q,Básico
AVLL,_2020_3Q,Básico
AVLL,_2020_4Q,Básico
AVLL,_2021_1Q,NM
NGRD,_2019_4Q,Básico
NGRD,_2020_1Q,Básico
NGRD,_2020_2Q,Básico
NGRD,_2020_3Q,Básico
NGRD,_2020_4Q,Básico
NGRD,_2021_1Q,NM
BMEB,_2019_4Q,Básico
BMEB,_2020_1Q,Básico
BMEB,_2020_2Q,Básico
BMEB,_2020_3Q,Básico
BMEB,_2020_4Q,Básico
BMEB,_2021_1Q,N1
HBRE,_2019_4Q,Básico
HBRE,_2020_1Q,Básico
HBRE,_2020_2Q,Básico
HBRE,_2020_3Q,Básico
HBRE,_2020_4Q,Básico
HBRE,_2021_1Q,Básico
VAMO,_2019_4Q,Básico
VAMO,_2020_1Q,Básico
VAMO,_2020_2Q,Básico
VAMO,_2020_3Q,Básico
VAMO,_2020_4Q,Básico
VAMO,_2021_1Q,Básico
ESPA,_2019_4Q,Básico
ESPA,_2020_1Q,Básico
ESPA,_2020_2Q,Básico
ESPA,_2020_3Q,Básico
ESPA,_2020_4Q,Básico
ESPA,_2021_1Q,Básico
INTB,_2019_4Q,Básico
INTB,_2020_1Q,Básico
INTB,_2020_2Q,Básico
INTB,_2020_3Q,Básico
INTB,_2020_4Q,Básico
INTB,_2021_1Q,Básico
MBLY,_2019_4Q,Básico
MBLY,_2020_1Q,Básico
MBLY,_2020_2Q,Básico
MBLY,_2020_3Q,Básico
MBLY,_2020_4Q,Básico
MBLY,_2021_1Q,Básico
MOSI,_2019_4Q,Básico
MOSI,_2020_1Q,Básico
MOSI,_2020_2Q,Básico
MOSI,_2020_3Q,Básico
MOSI,_2020_4Q,Básico
MOSI,_2021_1Q,Básico
JALL,_2019_4Q,Básico
JALL,_2020_1Q,Básico
JALL,_2020_2Q,Básico
JALL,_2020_3Q,Básico
JALL,_2020_4Q,Básico
JALL,_2021_1Q,Básico
BMOB,_2019_4Q,Básico
BMOB,_2020_1Q,Básico
BMOB,_2020_2Q,Básico
BMOB,_2020_3Q,Básico
BMOB,_2020_4Q,Básico
BMOB,_2021_1Q,Básico
CSED,_2019_4Q,Básico
CSED,_2020_1Q,Básico
CSED,_2020_2Q,Básico
CSED,_2020_3Q,Básico
CSED,_2020_4Q,Básico
CSED,_2021_1Q,Básico
WEST,_2019_4Q,Básico
WEST,_2020_1Q,Básico
WEST,_2020_2Q,Básico
WEST,_2020_3Q,Básico
WEST,_2020_4Q,Básico
WEST,_2021_1Q,Básico
OPCT,_2019_4Q,Básico
OPCT,_2020_1Q,Básico
OPCT,_2020_2Q,Básico
OPCT,_2020_3Q,Básico
OPCT,_2020_4Q,Básico
OPCT,_2021_1Q,Básico
ORVR,_2019_4Q,Básico
ORVR,_2020_1Q,Básico
ORVR,_2020_2Q,Básico
ORVR,_2020_3Q,Básico
ORVR,_2020_4Q,Básico
ORVR,_2021_1Q,Básico
ELMD,_2019_4Q,Básico
ELMD,_2020_1Q,Básico
ELMD,_2020_2Q,Básico
ELMD,_2020_3Q,Básico
ELMD,_2020_4Q,Básico
ELMD,_2021_1Q,Básico
CMIN,_2019_4Q,Básico
CMIN,_2020_1Q,Básico
CMIN,_2020_2Q,Básico
CMIN,_2020_3Q,Básico
CMIN,_2020_4Q,Básico
CMIN,_2021_1Q,Básico
AESB,_2019_4Q,Básico
AESB,_2020_1Q,Básico
AESB,_2020_2Q,Básico
AESB,_2020_3Q,Básico
AESB,_2020_4Q,Básico
AESB,_2021_1Q,Básico
