cnpj,codigo_B3,registro_cancelado
02.604.860/0001-60,SLCT3B,False
50.564.053/0001-03,BOBR4,False
60.637.238/0001-54,JBDU4,False
84.693.183/0001-68,SHUL3,False
35.791.391/0001-94,QUSW3,False
30.540.991/0001-66,HAGA3,False
09.346.601/0001-25,B3SA3,False
45.453.214/0001-51,PFRM3,False
11.992.680/0001-93,QUAL3,False
86.375.425/0001-09,MTSA3,False
71.476.527/0001-35,TEND3,False
00.000.208/0001-00,BSLI4,False
90.076.886/0001-40,MNPR3,False
03.847.461/0001-92,BRAP4,False
01.548.981/0001-79,FIGE4,False
27.093.558/0001-15,MILS3,False
00.622.416/0001-41,STKF3,False
95.426.862/0001-97,BAUH3,False
01.548.981/0001-79,FIGE3,False
93.828.986/0001-73,MAPT4,False
01.417.222/0001-77,MRSA6B,False
62.144.175/0001-20,PINE3,False
89.463.822/0001-12,LUPA3,False
33.938.119/0001-69,CEGR3,False
13.217.485/0001-11,CNTO3,False
07.857.093/0001-14,AURA32,False
60.500.139/0001-26,SLED3,False
81.243.735/0001-48,POSI3,False
34.169.557/0001-72,BMIN3,False
17.245.234/0001-00,CEDO3,False
00.938.574/0001-05,CRTE3B,False
00.070.698/0001-11,CEBR6,False
61.856.571/0001-17,CGAS3,False
60.894.730/0001-05,USIM5,False
33.200.049/0001-47,HOOT4,False
49.263.189/0001-02,HBOR3,False
02.796.775/0001-40,OPGM3B,False
78.876.950/0001-71,HGTX3,False
88.610.126/0001-29,FRAS3,False
19.526.748/0001-50,CATA3,False
50.746.577/0001-15,CSAN3,False
04.895.728/0001-80,EQPA6,False
02.387.241/0001-60,RAIL3,False
33.102.476/0001-92,MOAR3,False
61.082.004/0001-50,ESTR4,False
17.193.806/0001-46,BRGE3,False
00.336.701/0001-04,TELB4,False
89.086.144/0001-16,RAPT3,False
21.255.567/0001-89,CTSA3,False
00.001.180/0001-26,ELET3,False
17.161.241/0001-15,MMAQ3,False
84.683.408/0001-03,DOHL4,False
15.073.274/0001-88,PPLA11,False
84.683.374/0001-49,TUPY3,False
91.495.499/0001-00,STTR3,False
45.242.914/0001-05,CEAB3,False
82.636.986/0001-55,TEKA4,False
97.191.902/0001-94,ODER4,False
91.333.666/0001-17,RCSL3,False
02.328.280/0001-97,EKTR3,False
33.376.989/0001-91,IRBR3,False
62.002.886/0001-60,AHEB3,False
30.306.294/0001-45,BPAC3,False
42.771.949/0001-35,AALR3,False
47.960.950/0001-21,MGLU3,False
04.895.728/0001-80,EQPA5,False
33.467.572/0001-34,TKNO3,False
03.220.438/0001-73,EQTL3,False
