ticker,quarter,B_sum,S_sum,days_traded,alpha,delta,mu,epsilon_b,epsilon_s,likelihood,PIN
MTSA4,2021Q1,560,355,58,0.4128409963967903,0.3721499822022549,12.19249102245315,6.369665374852721,4.372638718252006,1092.375697096931,0.3190671564592988
MTSA4,2020Q4,746,617,61,0.495454391364346,0.5699303869462637,12.781820715128084,9.599885837142905,6.411569854318076,2028.7938320214596,0.2834198946741044
MTSA4,2020Q3,1056,601,65,0.0307692188415839,1.1121333187551833e-12,127.16666655239922,12.33333383240689,9.246153566256114,3000.598909610327,0.1534901916078119
MTSA4,2020Q2,683,648,61,0.3016761252989787,0.4123860259708589,18.60392177663408,7.975719185359074,8.231594212936725,1994.5137180873069,0.2572155495733748
MTSA4,2020Q1,1222,934,62,0.21134807712734,0.540289794113346,38.81415398065072,16.655030316977907,9.915866429617871,4347.360189343807,0.2359018562425616
MTSA4,2019Q4,728,673,61,0.3285909574855513,0.2460555551688631,17.115752045093323,7.949920464087751,9.393212098090768,2139.1586876329998,0.2448743401552899
MULT3,2021Q1,450728,477672,60,0.3166653257916684,0.5263159070799109,6398.819607460477,6551.119587954951,6895.92070221378,7420961.273452712,0.1309533891334464
MULT3,2020Q4,473414,419286,61,0.3934444514649815,0.0416669603109108,7996.16354943621,4729.000894357498,6759.393878162562,7111957.396271704,0.21497549454809
MULT3,2020Q3,692570,699868,65,0.3692304624450799,0.5416673532133189,7594.42556908309,9320.678785708276,9297.349026645556,11574625.50991667,0.1308970878638936
MULT3,2020Q2,806976,854772,61,0.5245895806630034,0.6562483504648777,7912.496670319204,11891.9697932065,11198.981909160031,14205772.111407217,0.1523694704933102
MULT3,2020Q1,670534,751946,62,0.3225817609690755,0.7499960429487705,10056.541990352507,10000.596375439089,9698.582964215258,11936628.818082867,0.1413949180061935
MULT3,2019Q4,425551,393815,61,0.4590182255484313,0.7500002752153256,3613.983126854043,6534.585122972686,5238.767311602721,6420281.173206883,0.1235002164425262
MWET3,2021Q1,85,36,20,0.0999979092426383,0.0,30.833731161801285,1.166696166938661,1.8000000331308423,118.70296703733898,0.5096373848570153
MWET3,2020Q4,75,27,25,0.6879754801701112,0.8729347322424538,4.800256564864128,0.5445160376227671,0.5369776984623651,2.9817100439420883,0.7533062405568446
MWET3,2020Q3,504,314,40,0.1826703218920331,0.9253749221557795,9.320672310125143,14.320469031058549,1.7806031565157403,1212.9966515081765,0.0956324749571811
MWET4,2021Q1,1785,1469,60,0.1162702915246618,0.1399353260271209,106.88239523780146,18.21575601804095,23.590320610890068,8218.158178598767,0.2291441195854598
MWET4,2020Q4,1912,1634,61,0.1642724792738739,0.0997942989628345,84.27250092203772,19.734903839020483,24.552594220004465,9070.79713184166,0.23814516811701
MWET4,2020Q3,8651,7251,65,0.1384546930543249,1.8272451270361081e-09,709.0909297984813,34.91069727125333,111.55371781820271,69476.69130931911,0.4013097301084171
MWET4,2020Q2,1719,1241,49,0.183673636431222,0.0,134.51390614926908,10.374999473743152,25.326528726515303,8486.871737660516,0.408995199611891
MWET4,2020Q1,220,153,37,0.229277624568044,0.6155875074784418,15.26654066565401,4.776720017769453,1.8040836194026053,336.2152685239621,0.347212425945739
MWET4,2019Q4,512,202,58,0.920825931034483,0.9813595200000004,1.461453385714286,8.334007357142863,1.825,657.0905169208147,0.116972902096584
MYPK3,2021Q1,153864,155823,60,0.3500006982336958,0.4285693160994083,2238.74577880285,2143.1097248523183,2234.7791474073265,2137619.6761621484,0.1518105114663008
MYPK3,2020Q4,135364,132781,61,0.2786872716973425,0.5294137101737961,2154.0055852542537,1910.961134915908,1884.561867455379,1808134.7055743127,0.136560268017485
MYPK3,2020Q3,290694,307615,65,0.4923088741048273,0.3437473880244328,2385.9696410629804,3723.174822388081,4306.947658569165,4461866.671777651,0.1276116349783836
MYPK3,2020Q2,292623,286309,61,0.1639354928750755,0.5999992487426262,5058.530566710248,4462.699600415092,4198.7217334362485,4341407.521840696,0.0873774561241653
MYPK3,2020Q1,298948,265136,62,0.3870960059687347,0.4166659146148264,3373.753537868527,4062.018168404751,3730.141803102535,4209187.106565487,0.1435423568691546
MYPK3,2019Q4,154302,155805,61,0.3442617455615988,0.5238091863070942,1798.5285438149003,2232.200794646725,2232.355049652793,2131027.000010023,0.1217935930291351
NEOE3,2021Q1,139540,162113,60,0.5166660325805787,0.516130407405027,2080.466912281773,1846.286896981066,2106.3551915915814,2078726.5564937375,0.2138033175154743
NEOE3,2020Q4,180237,179794,61,0.4098357922869796,0.439999724871683,2882.5168195068445,2231.247240033542,2489.541083572083,2540527.083677072,0.2001574320156709
NEOE3,2020Q3,281664,284578,65,0.3692324435342898,0.7083334713860889,2803.5218989481355,4018.768458246375,3657.500223631768,4193737.1256188247,0.1188269249312853
NEOE3,2020Q2,327909,317103,61,0.4098359299720289,0.5999978334258309,3382.993547915292,4795.4176384046905,4392.076940708804,4904047.295143044,0.1311213021336749
NEOE3,2020Q1,286657,301852,62,0.2903227599748471,0.6111117768048314,4738.994710681765,4082.8081385765113,4033.435012399276,4423503.761536229,0.1449458763112288
NEOE3,2019Q4,213654,164516,61,0.3770480378353578,0.4347793796065076,2514.786145408033,2948.496205088428,2302.813867017086,2681613.249120444,0.1529469115490061
NGRD3,2021Q1,264483,270249,60,0.2833339542385474,0.5294139748626271,6289.598585699024,3619.838134357269,3510.3094048983157,4009035.471594121,0.1999569088019706
NGRD3,2020Q4,46358,45392,8,0.5000008913061118,0.9999999999611678,6595.500598377696,5794.748966491645,2376.249978505336,710445.5759242228,0.2875426445581762
