ticker,quarter,B_sum,S_sum,days_traded,alpha,delta,mu,epsilon_b,epsilon_s,likelihood,PIN
BRSR3,2021Q1,1260,1341,60,0.5556124278033789,0.8722158097579435,17.1822571080337,19.343111753716823,14.460214268703178,5486.6018985641485,0.2202231887547601
BRSR3,2020Q4,1213,1207,61,0.2902743656387051,0.2409039109252976,25.029164150229768,15.005907965814163,17.400898975163297,4959.745880730274,0.1831342163175919
BRSR3,2020Q3,1887,2148,65,0.1718231513753501,0.7313447138303428,66.82536936210849,26.08714946619092,24.50761416885713,10290.729729236517,0.1849664505742739
BRSR3,2020Q2,6000,2598,61,0.2880029517405992,0.8928949700195131,57.0005573394114,28.060931248106257,28.94526926482511,inf,0.2235870777831031
BRSR3,2020Q1,569,441,62,0.3005454202769634,0.2735380509798361,12.442621128218471,6.317250356063177,6.233499642188782,1187.8548683405256,0.22955793101729
BRSR3,2019Q4,428,369,61,0.3479542103009875,0.2923053012974598,11.159712646634386,4.269056926616267,4.913447758666754,782.8557398155581,0.2971985076460134
BRSR5,2021Q1,48,21,26,0.118966500866046,0.0,5.926807124445787,1.1410617868245247,0.8076922226195711,-35.492969656950706,0.2656867180441979
BRSR5,2020Q4,60,30,18,0.2231848611467384,7.531114789005606e-15,10.143671797317817,1.069419236680034,1.666666664008737,25.75862454748613,0.4527828069797937
BRSR5,2020Q3,45,39,18,0.1669618788863382,0.332950890018387,10.95763400716328,1.2529177125480004,1.5842426881225302,15.883013157079318,0.39203717372656
BRSR5,2020Q2,236,191,20,0.1999999315804272,0.0,48.99999779224129,2.000000057393206,9.55000052291578,818.2644508910104,0.459016284827946
BRSR5,2019Q4,24,1,10,0.9651551213568,0.9556117921280004,0.0727973801920002,2.745066425216,0.04587516264,-6.532472678313091,0.0245563772378377
BRSR6,2021Q1,134952,115939,60,0.7589329141743983,0.0720614870687631,553.4957672238099,4546.211471690683,3430.301861061684,inf,0.0500282473577428
BRSR6,2020Q4,152628,142399,61,0.7038977268143956,0.0375759964652061,172.9075954184854,3697.738046162246,1662.406684150128,inf,0.0222022081406059
BRSR6,2020Q3,248410,270263,65,0.1209773783545813,0.5071721246050267,459.4301425719445,5667.437403977468,4250.892923068919,inf,0.0055726037950421
BRSR6,2020Q2,239523,263274,61,0.7597791229340769,0.1527855595792527,332.6470426145728,5825.060757817135,6642.225721797462,inf,0.019869322827172
BRSR6,2020Q1,249272,219360,62,0.7841051605885174,0.6759518502710116,456.7180613098883,5648.280613937437,5313.364192118741,inf,0.0316362710249005
BRSR6,2019Q4,145976,155296,61,0.1182903852467494,0.4259522806730229,502.7944175690451,3803.9466056469714,4035.657071091343,inf,0.0075294527597498
BSEV3,2021Q1,12081,11655,59,0.3599660158157351,0.8956200191974641,160.4825378977679,101.69753502093528,243.23074026069645,inf,0.1434535804161438
BSEV3,2020Q4,4789,4316,60,0.0735819521956974,0.6024104567250841,81.5619297026218,77.1836123117231,51.69833624917193,inf,0.0444938700690293
BSEV3,2020Q3,13550,12217,62,0.8476438817048839,0.9807010901412964,64.54516358458127,48.51100192953085,1143.7163746244437,inf,0.0438765060898167
BSEV3,2020Q2,6602,5799,59,0.2652474567323027,0.9764479205882314,110.9787721952204,76.5754161941758,77.67504921154563,inf,0.1602551547022478
BSEV3,2020Q1,25787,23308,60,0.8904166905085248,0.9569091065146706,84.74727275082712,390.7307190010004,834.699297618866,inf,0.0580067206067198
BSEV3,2019Q4,1377,1220,60,0.2306594893884745,0.2538267917175453,43.23063033617203,15.031896648889628,18.27988307540188,5721.942578026834,0.2303786239050284
BSLI3,2021Q1,564,438,50,0.1400019485585407,0.5711055380316513,47.4686797066461,7.347177532393983,6.047115000912183,1675.783433557656,0.3316221353380078
BSLI3,2020Q4,19,3,10,0.9107035636203478,0.9996875533486956,0.3253461039779003,1.874370790394312,3.9382326355176476e-33,-13.345647113579105,0.136499139447233
BSLI4,2021Q1,440,396,46,0.1522142482718286,0.0,38.75464149056717,3.666212844871294,8.608695752377162,1295.7836931065804,0.324586524221392
BTOW3,2021Q1,399374,388013,60,0.9679756751084752,0.9100676475697952,462.6310841434017,9761.68634200528,9744.536878804583,inf,0.0224423556159934
BTOW3,2020Q4,395728,403384,61,0.8253529423423946,0.9583401517688684,455.8767296452696,9972.51460281984,9888.661178432843,inf,0.0185922376281265
BTOW3,2020Q3,505008,508179,65,0.8679760365679873,0.3525820024146887,532.837959835344,11710.864875248692,11825.803787075083,inf,0.0192711159516531
BTOW3,2020Q2,598724,635484,61,0.3848380156161269,0.5452313839624081,443.3715120422444,13020.115625413897,12657.768012564413,inf,0.006601007712227
BTOW3,2020Q1,404173,411016,62,0.5926092658516966,0.1733203220124836,226.48891597352727,10520.546477404398,6741.524845878766,inf,0.0077154050895361
BTOW3,2019Q4,291258,290612,61,0.4563728397503961,0.0748785173972635,692.3008483835188,4353.328417587836,4256.998331348929,inf,0.0353952054642047
BTTL3,2021Q1,258,350,54,0.2080851606040888,0.599197224914558,14.005142345365508,3.429438674349468,4.9155595453938,536.876658714272,0.25883247755079
BTTL3,2020Q4,592,557,61,0.0920003002107254,0.4595311341498264,29.30043509198903,8.316439772377876,7.823978152472427,1550.533129851341,0.1431110252793359
BTTL3,2020Q3,2879,1978,64,0.9435649538764244,0.9833214800802754,29.298037390704543,50.215548269813695,11.798421374951822,inf,0.3083319420348322
BTTL3,2020Q2,385,249,55,0.2597825758720467,0.1860448865649095,14.50737138748682,3.7079409037609192,4.050570228788244,597.7628035374267,0.3269430822088142
